Outcome,Factor,Odds ratio
Stay,3Needsmet,31.328192527290174
Stay,Autonomous,18.788486055206718
Stay,Belongs,8.018878888490535
Stay,Competent,14.119036635686575
Stay,LeaderOK,10.837585798652073
Stay,Understood,8.124291240726084
Stay,Encouraged,5.785960264228445
Stay,Heard,10.630804781047113
Stay,ManagementOK,26.248663984336574
Stay,ReturnsOK,20.1371432472426
Stay,RewardsOK,12.30649845595229
Stay,StatusOK,24.25115827683354
Stay,Front,2.3087032033138644
Drained,3Needsmet,0.15609079798688433
Drained,Autonomous,0.23219388808399916
Drained,Belongs,0.3697816148684161
Drained,Competent,0.4553664611733003
Drained,LeaderOK,0.33452474043237423
Drained,Understood,0.2973516366318914
Drained,Encouraged,0.4732965466745009
Drained,Heard,0.39928547375553425
Drained,ManagementOK,0.2793977493121965
Drained,ReturnsOK,0.405900547484363
Drained,RewardsOK,0.41094036480484697
Drained,StatusOK,0.29890164424548193
Drained,Front,0.8413033935849262
Frustrated,3Needsmet,0.05158798197292466
Frustrated,Autonomous,0.08365112934515638
Frustrated,Belongs,0.1505668137117046
Frustrated,Competent,0.18758162073960755
Frustrated,LeaderOK,0.15689745767300467
Frustrated,Understood,0.11192075174791113
Frustrated,Encouraged,0.2654047648023289
Frustrated,Heard,0.15838668141347256
Frustrated,ManagementOK,0.09786130381744579
Frustrated,ReturnsOK,0.09952901806215435
Frustrated,RewardsOK,0.16441151176643204
Frustrated,StatusOK,0.08220862214846873
Frustrated,Front,0.8859415689201096
Strong,3Needsmet,14.8893261525956
Strong,Autonomous,10.57342817195205
Strong,Belongs,4.733378501911746
Strong,Competent,6.986983507004146
Strong,LeaderOK,5.7180237912820955
Strong,Understood,5.219978652748792
Strong,Encouraged,3.7898980007928813
Strong,Heard,5.559261458430037
Strong,ManagementOK,8.56385922523017
Strong,ReturnsOK,7.3404989686844395
Strong,RewardsOK,3.6393636489970342
Strong,StatusOK,16.725517997453867
Strong,Front,0.7422992683150109
Satisfied,3Needsmet,57.56282372327321
Satisfied,Autonomous,79.21926263274051
Satisfied,Belongs,17.21186661551375
Satisfied,Competent,12.57711373945726
Satisfied,LeaderOK,25.65584964496283
Satisfied,Understood,14.636429233784446
Satisfied,Encouraged,21.177217935669496
Satisfied,Heard,13.801441785227006
Satisfied,ManagementOK,31.326099303371528
Satisfied,ReturnsOK,18.738429362611484
Satisfied,RewardsOK,32.500821357016264
Satisfied,StatusOK,33.61133976928604
Satisfied,Front,0.29693764010926244
Meaning,3Needsmet,57.386354984071026
Meaning,Autonomous,26.36259297472957
Meaning,Belongs,146.12936800187686
Meaning,Competent,17.07385273926431
Meaning,LeaderOK,23.743863385968634
Meaning,Understood,33.886084124493955
Meaning,Encouraged,25.16920511008619
Meaning,Heard,13.338269441361023
Meaning,ManagementOK,27.085798276268733
Meaning,ReturnsOK,27.125864542929772
Meaning,RewardsOK,33.30044273969735
Meaning,StatusOK,11.70145002855743
Meaning,Front,1.1951038485459475
Values,3Needsmet,47.63946451005045
Values,Autonomous,24.57689059363449
Values,Belongs,16.236820352690504
Values,Competent,17.8935077320082
Values,LeaderOK,26.544543378515527
Values,Understood,27.654049605091615
Values,Encouraged,9.978288688488147
Values,Heard,18.712482557316427
Values,ManagementOK,28.889833641353995
Values,ReturnsOK,25.37092243757398
Values,RewardsOK,11.700421356790592
Values,StatusOK,14.453457342092173
Values,Front,1.2107523013345625
Ideas,3Needsmet,15.654906632840072
Ideas,Autonomous,7.219546336339683
Ideas,Belongs,11.84547549718169
Ideas,Competent,8.988678987883944
Ideas,LeaderOK,8.295416216324915
Ideas,Understood,8.459691966075367
Ideas,Encouraged,7.221512977547474
Ideas,Heard,9.68877167289077
Ideas,ManagementOK,10.606714312119601
Ideas,ReturnsOK,20.52088773341405
Ideas,RewardsOK,7.122338001526249
Ideas,StatusOK,12.740060407582797
Ideas,Front,3.1627668291989948
