Team Name,Needs,Autonomy,Belonging,Competence
Kyiv_City_Staff,4.3,4.0,4.6,4.2
Kyiv_City_Volunteers,4.2,4.2,4.3,4.2
Kyiv_Darnytskyi District_JointStaffVolunteers,4.5,4.5,4.5,4.4
Kyiv_Desnyanskyi District_JointStaffVolunteers,4.1,4.1,4.2,4.2
Kyiv_Dniprovsky District_JointStaffVolunteers,4.5,4.5,4.4,4.5
Kyiv_Holosiivskyi District_JointStaffVolunteers,4.1,4.1,4.2,4.0
Kyiv_Obolonsky District_JointStaffVolunteers,4.5,4.5,4.4,4.5
Kyiv_Pechersky District_JointStaffVolunteers,4.2,4.3,4.4,3.9
Kyiv_Podolsky District_JointStaffVolunteers,4.4,4.3,4.6,4.2
Kyiv_Shevchenkivskyi District_JointStaffVolunteers,4.3,4.3,4.4,4.3
Kyiv_Solomianskyi District_JointStaffVolunteers,4.4,4.4,4.3,4.6
Kyiv_Svyatoshinsky District_JointStaffVolunteers,4.5,4.4,4.5,4.3
